allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
1,0,2,Red,8,7,285,17,Fighter,None,6012,Yasuo,39475,4382,12,0,3,1,Blue,7,Ally,Ally,False,False,Enemy,Enemy,False,Ally,False,35.59999999999991,65.20000000000005,14008,12,3216347957,None,4Head4Head4Head,8758,19,1,1,1
1,2,2,Blue,7,6,365,16,Mage,None,18722,Cassiopeia,29098,1909,9,0,1,0,Red,2,Ally,Enemy,False,False,Enemy,Ally,True,Enemy,False,252.29999999999995,-160.70000000000005,11922,11,3216362118,None,4Head4Head4Head,13879,13,1,1,1
1,3,3,Blue,11,7,142,17,Mage,None,15700,Vladimir,35791,5682,9,0,2,0,Red,5,Ally,Ally,False,False,Ally,Ally,False,Ally,False,74.59999999999991,-300.4000000000001,14368,10,3190525466,Ally,4Head4Head4Head,33429,21,2,0,1
0,4,0,Red,6,10,404,16,Mage,None,60178,Syndra,25844,6930,9,1,0,2,Blue,9,Enemy,Ally,False,False,Ally,Enemy,False,Ally,False,-335.5999999999999,-199.29999999999995,12127,3,3190439460,Ally,4Head4Head4Head,3249,15,2,0,0
1,2,1,Red,6,14,78,18,Marksman,None,18369,Ezreal,45830,9587,13,1,2,3,Blue,9,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,False,893.8,-51.59999999999991,18825,18,3186495734,Ally,4Head4Head4Head,3941,23,0,2,0
0,0,0,Red,3,8,107,14,Support,None,1655,Pyke,15351,814,11,1,3,2,Blue,10,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-655.2,-738.0,14299,13,3186489156,Ally,4Head4Head4Head,6465,45,6,7,0
0,1,0,Blue,2,4,32,13,Marksman,None,2545,Xayah,22937,3125,9,1,2,1,Red,7,Enemy,Ally,False,False,Ally,Enemy,False,Ally,True,-49.0,-88.5,12076,9,3186483785,Ally,4Head4Head4Head,1222,12,0,1,0
0,3,3,Red,11,12,50,15,Fighter,None,1013,Pantheon,21940,5162,12,1,0,0,Blue,2,Enemy,Ally,False,True,Ally,Ally,False,Ally,False,111.5,-466.9000000000001,12296,13,3037709753,None,4Head4Head4Head,4618,28,1,0,1
0,2,3,Blue,11,6,184,12,Fighter,None,21938,Irelia,16581,8279,4,0,0,0,Red,0,None,Enemy,False,False,Ally,Ally,False,Ally,False,553.5,611.8,11484,11,3037691162,None,4Head4Head4Head,5885,9,0,0,1
0,2,3,Blue,11,15,595,18,Mage,None,8496,Velkoz,55346,3818,7,1,2,0,Red,3,Enemy,Enemy,False,False,Ally,Ally,True,Ally,False,152.5,232.9000000000001,19756,15,3032389522,None,4Head4Head4Head,3493,30,2,1,1
