allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,0,0,Blue,1,2,72,12,Fighter,None,129493,Yorick,9983,3684,2,0,2,1,Red,8,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,344.0,687.7,6989,3,3197633642,Ally,Ghoulguy Yorick,2907,4,0,1,0
0,0,0,Blue,2,0,87,14,Fighter,None,129493,Yorick,11865,7083,4,1,3,2,Red,10,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,True,-387.5,-180.20000000000005,9084,1,3197631989,Enemy,Ghoulguy Yorick,3475,8,0,2,0
1,3,1,Blue,7,6,105,13,Fighter,None,129493,Yorick,8346,5888,2,0,0,0,Red,3,Ally,Ally,False,False,Ally,Ally,False,Ally,False,252.0,5.900000000000091,8017,1,3197590824,Ally,Ghoulguy Yorick,3485,3,0,0,1
1,4,1,Blue,7,21,1074,18,Marksman,None,18807,Ashe,38241,32825,9,2,2,2,Red,8,Enemy,Ally,False,False,Enemy,Enemy,False,Enemy,False,257.4000000000001,506.79999999999995,20580,11,3198064472,Ally,CE Detonator,5631,46,0,4,1
0,1,0,Red,3,6,257,15,Mage,None,185,Xerath,20670,2505,3,0,2,0,Blue,4,None,Enemy,False,False,Enemy,None,None,Enemy,False,2.5,520.9000000000001,10470,4,3197605840,Enemy,CE Detonator,151,15,1,1,0
0,2,0,Red,4,1,63,11,Mage,None,2885,Ryze,6274,3775,0,0,0,0,Blue,0,None,Ally,False,False,Ally,None,None,Ally,False,142.20000000000005,584.3,7806,4,3197643321,None,CE Detonator,0,14,4,0,1
0,0,0,Red,2,5,66,14,Assassin,None,170,Akali,10252,0,3,1,3,1,Blue,7,Enemy,Ally,False,False,Enemy,Enemy,False,Ally,False,-83.70000000000005,277.4000000000001,9390,4,3197593389,None,CE Detonator,4290,21,4,0,0
1,5,1,Red,9,10,68,15,Marksman,None,28448,Caitlyn,21397,16269,5,0,0,0,Blue,2,Ally,Ally,False,False,Ally,Ally,False,Ally,False,-184.70000000000005,270.5999999999999,13405,8,3197573858,Ally,CE Detonator,3289,31,3,4,1
2,3,2,Blue,11,9,721,15,Marksman,None,18807,Ashe,24403,25193,5,0,1,0,Red,1,Ally,Ally,False,False,Ally,Ally,True,Ally,False,303.9000000000001,473.20000000000005,13845,9,3197529997,Enemy,CE Detonator,1864,38,2,4,1
0,2,2,Blue,10,13,588,12,Marksman,None,18807,Ashe,14270,8908,3,0,0,0,Red,0,None,Ally,False,True,Ally,Ally,False,Ally,False,477.5,-161.29999999999995,11225,8,3197515575,Ally,CE Detonator,1337,18,0,1,1
