allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemySide,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,1,0,Blue,5,6,426,18,Fighter,None,98314,Gangplank,31675,23367,6,2,4,4,Red,11,Enemy,Ally,False,True,Ally,Enemy,False,Ally,False,16.40000000000009,112.09999999999991,21436,7,3036221855,Ally,enoLAtfeL,9701,32,6,1,0
0,1,0,Blue,1,3,218,14,Fighter,None,250350,Rumble,16584,692,16,2,3,4,Red,11,Enemy,Enemy,False,False,Ally,Enemy,False,Enemy,False,234.5999999999999,-107.79999999999995,8613,4,3043656865,Enemy,dsahu73sah,2014,10,1,2,0
1,3,2,Blue,10,11,132,15,Fighter,None,250350,Rumble,17084,7450,4,0,0,0,Red,0,Ally,Enemy,False,False,Ally,Ally,False,Ally,False,33.799999999999955,-72.09999999999991,11226,8,3043651307,Ally,dsahu73sah,4302,16,2,0,1
1,2,2,Blue,9,13,310,14,Mage,None,7870,Karma,11917,6958,3,0,0,0,Red,0,Ally,Ally,False,False,Ally,Ally,False,Ally,True,412.79999999999995,-65.79999999999995,10482,5,3043614124,Enemy,dsahu73sah,1219,17,0,3,1
0,0,0,Blue,1,3,157,11,Fighter,None,23556,Hecarim,9486,6364,5,0,2,1,Red,8,None,Ally,False,True,Enemy,Enemy,False,Enemy,False,711.9000000000001,213.70000000000005,8234,6,3043586056,Enemy,dsahu73sah,8064,15,1,2,0
0,0,0,Blue,2,0,666,13,Tank,None,22280,Sion,5606,2758,5,1,2,1,Red,9,Enemy,Ally,False,False,Enemy,Enemy,False,Enemy,False,-411.29999999999995,-727.5999999999999,7524,0,3043572147,Enemy,dsahu73sah,1278,10,1,1,0
0,0,0,Blue,1,4,184,13,Mage,None,4678,Annie,10382,57,5,1,2,2,Red,9,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,False,-317.29999999999995,-167.0,7947,3,3043543318,Ally,dsahu73sah,1444,6,0,1,0
2,2,2,Blue,8,16,263,18,Fighter,None,250350,Rumble,27904,5781,9,0,2,0,Red,4,Ally,Enemy,False,False,Enemy,Ally,True,Ally,False,-350.0999999999999,-156.79999999999995,13406,2,3043491038,Enemy,dsahu73sah,3488,46,1,3,1
0,0,0,Red,0,2,61,8,Mage,None,9209,Elise,2905,3025,6,0,2,0,Blue,4,None,Enemy,False,False,Enemy,None,None,Enemy,False,-149.0999999999999,-179.5999999999999,4338,0,3043443518,Enemy,dsahu73sah,3600,4,1,0,0
0,0,0,Red,0,4,153,9,Fighter,None,250350,Rumble,3827,0,6,0,1,0,Blue,5,None,Ally,False,False,Enemy,None,None,Enemy,False,-258.29999999999995,-241.70000000000005,4695,1,3043416760,Enemy,dsahu73sah,2728,9,0,1,0
0,0,0,Red,3,4,168,14,Fighter,None,250350,Rumble,9200,3386,3,1,3,1,Blue,8,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,169.5999999999999,-425.5,9556,4,3043327291,Ally,dsahu73sah,2134,8,0,0,0
2,2,0,Red,3,10,191,18,Fighter,None,250350,Rumble,28296,6498,6,0,4,2,Blue,9,Ally,Ally,False,False,Ally,Enemy,False,Enemy,False,-467.79999999999995,-467.29999999999995,14285,4,3043294289,Ally,dsahu73sah,7452,19,3,2,0
1,0,1,Red,7,9,220,13,Marksman,None,117107,Ezreal,14511,2830,7,1,4,1,Blue,9,Ally,Enemy,False,False,Enemy,Ally,False,Ally,False,110.29999999999995,-215.9000000000001,10306,3,3016892771,Ally,Travel Frog,1997,5,1,0,0
0,1,0,Blue,2,4,9,14,Marksman,None,4133,Corki,17538,1403,5,1,2,1,Red,8,Enemy,Enemy,False,False,Ally,Enemy,False,Enemy,False,189.0999999999999,552.2,9346,4,3016196703,Enemy,Travel Frog,788,27,1,5,0
2,3,0,Red,5,4,668,18,Mage,None,1404,Sylas,37015,21665,14,0,3,3,Blue,10,Ally,Ally,False,True,Ally,Enemy,False,Ally,False,400.20000000000005,492.79999999999995,18678,9,3015468209,Ally,Travel Frog,14224,37,1,5,0
